trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 1.0}",25,0,-85.99854193969853,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
2,False,"{'a': 0.01, 'e': 0.25}",20,0,-147.3977055755937,"{0: 13, 1: 2, 2: 1, 3: 1, 4: 3}",0
3,False,"{'a': 0.01, 'e': 0.1111111111111111}",25,0,-51.6874160060124,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
4,False,"{'a': 0.01, 'e': 0.0625}",30,0,-179.41588605205027,"{0: 20, 1: 2, 2: 3, 3: 2, 4: 3}",0
5,False,"{'a': 0.01, 'e': 0.04}",20,0,-91.30562397894954,"{0: 11, 1: 2, 2: 5, 3: 2, 4: 0}",0
6,False,"{'a': 0.01, 'e': 0.027777777777777776}",25,0,-160.47103635471046,"{0: 16, 1: 0, 2: 6, 3: 0, 4: 3}",0
7,False,"{'a': 0.01, 'e': 0.02040816326530612}",25,0,-32.40969379601741,"{0: 21, 1: 0, 2: 2, 3: 2, 4: 0}",0
8,False,"{'a': 0.01, 'e': 0.015625}",20,0,-24.731036500646447,"{0: 17, 1: 1, 2: 0, 3: 2, 4: 0}",0
9,False,"{'a': 0.01, 'e': 0.012345679012345678}",20,0,-110.05468545782892,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
10,False,"{'a': 0.01, 'e': 0.01}",20,11,-26.69137445996794,"{0: 6, 1: 1, 2: 1, 3: 1, 4: 0}",1
11,False,"{'a': 0.01, 'e': 0.008264462809917356}",25,0,-34.51762219724182,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
12,False,"{'a': 0.01, 'e': 0.006944444444444444}",30,0,-104.11327910290127,"{0: 23, 1: 2, 2: 2, 3: 1, 4: 2}",0
13,False,"{'a': 0.01, 'e': 0.005917159763313609}",25,0,-3.892253452335882,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
14,False,"{'a': 0.01, 'e': 0.00510204081632653}",20,8,-22.316797451131652,"{0: 10, 1: 0, 2: 0, 3: 2, 4: 0}",1
15,False,"{'a': 0.01, 'e': 0.0044444444444444444}",20,0,17.640100305683077,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
16,False,"{'a': 0.01, 'e': 0.00390625}",20,0,-80.44214133688965,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
17,False,"{'a': 0.01, 'e': 0.0034602076124567475}",20,0,20.40690060210351,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.01, 'e': 0.0030864197530864196}",20,0,-30.365266823378388,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
19,False,"{'a': 0.01, 'e': 0.002770083102493075}",25,0,-40.19987203039705,"{0: 21, 1: 2, 2: 0, 3: 1, 4: 1}",0
20,False,"{'a': 0.01, 'e': 0.0025}",20,0,-11.004015599315677,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
1,True,"{'a': 0.0, 'e': 0.0}",20,0,-5.64985930149165,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
2,True,"{'a': 0.0, 'e': 0.0}",25,0,0.8223092059714436,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
3,True,"{'a': 0.0, 'e': 0.0}",20,0,-29.02647134365642,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
4,True,"{'a': 0.0, 'e': 0.0}",30,0,-43.04989749238411,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 2}",0
5,True,"{'a': 0.0, 'e': 0.0}",20,0,18.168418985650334,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
6,True,"{'a': 0.0, 'e': 0.0}",35,0,-1.0028471751076689,"{0: 31, 1: 1, 2: 2, 3: 1, 4: 0}",0
7,True,"{'a': 0.0, 'e': 0.0}",20,0,16.001802880487226,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
8,True,"{'a': 0.0, 'e': 0.0}",25,7,-9.769611800871782,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",20,0,-67.5650816456997,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
10,True,"{'a': 0.0, 'e': 0.0}",25,0,-66.98516813037297,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
