trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 1.0}",20,10,2.8772656126053624,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
2,False,"{'a': 0.01, 'e': 0.9999500004166653}",20,0,-92.28298013402916,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
3,False,"{'a': 0.01, 'e': 0.9998000066665778}",30,0,-55.278916101704326,"{0: 21, 1: 3, 2: 6, 3: 0, 4: 0}",0
4,False,"{'a': 0.01, 'e': 0.9995500337489875}",30,0,-128.5078461745343,"{0: 18, 1: 2, 2: 8, 3: 1, 4: 1}",0
5,False,"{'a': 0.01, 'e': 0.9992001066609779}",20,0,-59.62703189143854,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
6,False,"{'a': 0.01, 'e': 0.9987502603949663}",20,0,-95.69461642973745,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
7,False,"{'a': 0.01, 'e': 0.9982005399352042}",30,0,-170.75444512635752,"{0: 16, 1: 4, 2: 7, 3: 1, 4: 2}",0
8,False,"{'a': 0.01, 'e': 0.9975510002532796}",25,0,-147.69932377207152,"{0: 16, 1: 3, 2: 3, 3: 0, 4: 3}",0
9,False,"{'a': 0.01, 'e': 0.9968017063026194}",25,0,-106.66763942650672,"{0: 11, 1: 4, 2: 10, 3: 0, 4: 0}",0
10,False,"{'a': 0.01, 'e': 0.9959527330119943}",25,0,-69.91576573641565,"{0: 19, 1: 0, 2: 3, 3: 3, 4: 0}",0
11,False,"{'a': 0.01, 'e': 0.9950041652780257}",25,0,-208.70641178495435,"{0: 11, 1: 2, 2: 9, 3: 0, 4: 3}",0
12,False,"{'a': 0.01, 'e': 0.9939560979566968}",20,0,-61.55481332545698,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
13,False,"{'a': 0.01, 'e': 0.9928086358538663}",30,0,-186.01292892161888,"{0: 18, 1: 2, 2: 7, 3: 0, 4: 3}",0
14,False,"{'a': 0.01, 'e': 0.9915618937147881}",20,0,-47.28104364177603,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
15,False,"{'a': 0.01, 'e': 0.9902159962126371}",20,0,-90.04566965704517,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
16,False,"{'a': 0.01, 'e': 0.9887710779360422}",25,0,-215.90886958094035,"{0: 12, 1: 0, 2: 9, 3: 1, 4: 3}",0
17,False,"{'a': 0.01, 'e': 0.9872272833756269}",25,0,14.797437743538179,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.01, 'e': 0.9855847669095608}",20,0,-67.45013842525395,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
19,False,"{'a': 0.01, 'e': 0.9838436927881214}",20,0,-75.60951367398646,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
20,False,"{'a': 0.01, 'e': 0.9820042351172703}",25,0,-94.02526155030361,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
21,False,"{'a': 0.01, 'e': 0.9800665778412416}",20,0,-121.6437198656531,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
22,False,"{'a': 0.01, 'e': 0.9780309147241483}",25,0,-130.2170623535193,"{0: 13, 1: 3, 2: 7, 3: 1, 4: 1}",0
23,False,"{'a': 0.01, 'e': 0.9758974493306055}",35,0,-210.25658403387183,"{0: 18, 1: 5, 2: 9, 3: 0, 4: 3}",0
24,False,"{'a': 0.01, 'e': 0.9736663950053749}",20,0,-98.08270942508398,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
25,False,"{'a': 0.01, 'e': 0.9713379748520297}",25,0,-84.83652950029943,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
26,False,"{'a': 0.01, 'e': 0.9689124217106447}",25,0,-171.84190595138395,"{0: 12, 1: 3, 2: 8, 3: 0, 4: 2}",0
27,False,"{'a': 0.01, 'e': 0.9663899781345132}",25,0,-128.874592714558,"{0: 9, 1: 6, 2: 9, 3: 1, 4: 0}",0
28,False,"{'a': 0.01, 'e': 0.9637708963658905}",20,0,-95.15392631904187,"{0: 12, 1: 5, 2: 0, 3: 2, 4: 1}",0
29,False,"{'a': 0.01, 'e': 0.9610554383107709}",20,0,-78.43256739001563,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
30,False,"{'a': 0.01, 'e': 0.9582438755126972}",25,15,-56.84295090689953,"{0: 5, 1: 3, 2: 1, 3: 0, 4: 1}",1
31,False,"{'a': 0.01, 'e': 0.955336489125606}",25,0,-54.952707427078415,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
32,False,"{'a': 0.01, 'e': 0.9523335698857134}",25,0,-157.20458660748014,"{0: 12, 1: 3, 2: 8, 3: 0, 4: 2}",0
33,False,"{'a': 0.01, 'e': 0.9492354180824408}",20,0,-97.37159979413501,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
34,False,"{'a': 0.01, 'e': 0.946042343528387}",25,0,-214.1187284996867,"{0: 13, 1: 3, 2: 5, 3: 0, 4: 4}",0
35,False,"{'a': 0.01, 'e': 0.9427546655283462}",20,0,-175.80673644688247,"{0: 10, 1: 2, 2: 4, 3: 1, 4: 3}",0
36,False,"{'a': 0.01, 'e': 0.9393727128473789}",30,0,-71.75691720845488,"{0: 19, 1: 5, 2: 5, 3: 1, 4: 0}",0
37,False,"{'a': 0.01, 'e': 0.9358968236779348}",20,0,-101.18980006072198,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
38,False,"{'a': 0.01, 'e': 0.9323273456060345}",25,0,-11.709460148598783,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
39,False,"{'a': 0.01, 'e': 0.9286646355765102}",20,0,-49.046269136802664,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
40,False,"{'a': 0.01, 'e': 0.9249090598573131}",30,0,-195.6779523630458,"{0: 15, 1: 5, 2: 5, 3: 3, 4: 2}",0
41,False,"{'a': 0.01, 'e': 0.9210609940028851}",30,0,-49.70272129908831,"{0: 25, 1: 2, 2: 1, 3: 1, 4: 1}",0
42,False,"{'a': 0.01, 'e': 0.9171208228166051}",25,8,-44.537134953081335,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 1}",1
43,False,"{'a': 0.01, 'e': 0.9130889403123083}",25,0,-28.198568881546045,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
44,False,"{'a': 0.01, 'e': 0.9089657496748851}",20,0,-15.707819793150657,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
45,False,"{'a': 0.01, 'e': 0.9047516632199635}",30,0,-153.55893221094854,"{0: 20, 1: 2, 2: 3, 3: 3, 4: 2}",0
46,False,"{'a': 0.01, 'e': 0.9004471023526769}",25,0,-132.1746030552782,"{0: 15, 1: 2, 2: 4, 3: 3, 4: 1}",0
47,False,"{'a': 0.01, 'e': 0.8960524975255253}",30,0,-129.90662922048716,"{0: 21, 1: 3, 2: 2, 3: 2, 4: 2}",0
48,False,"{'a': 0.01, 'e': 0.8915682881953289}",25,9,13.355278454025012,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.01, 'e': 0.8869949227792842}",25,0,-108.71054095642609,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 2}",0
